Responsedate,Name,Account Name,Email,Attendee Type,Campaign Name,Adhoc SFDC Account - ID,Adhoc SFDC Contact - ID,Program Name,Survey ID,How satisfied are you with the relevance and value of the content presented at Frontiers 2026?,Fuel for Brand Fandom Keynote,Q+A Panel with Editors,Workshop,How likely are you to apply the strategies or insights shared during Frontiers with your business?,"Based on your experience with us, how likely are you to collaborate with News
Australia in the future?",What would be the most helpful next step for your business?,What is the reason for providing the score? (Optional),What is one thing we could change or add that would have made this event more impactful for you? (optional)
2026-05-30 20:58:23,Eli Bennett,Vantage Media Co,eli.bennett@vantagemedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003mKZQFQ9f69gc,001bC9MMF4bYNEv,Frontiers 2026,914698,5,5,4,4,5,4,Receive a copy of the keynote deck and research whitepaper,The networking was excellent and the format kept everyone involved.,A clearer agenda sent in advance would be useful.
2026-05-30 20:46:03,Henry Ortega,Pinnacle Media Partners,henry.ortega@pinnaclemedia.com,Agency,fy26-nca-frontiers-evt-qld-indies-client,003HFPIgDucZfhz,001jeYjNiJdIJvk,Frontiers 2026,914791,4,4,3,5,3,5,,,
2026-05-30 19:47:57,Ruby Sutton,Brightwave Agency,ruby.sutton@brightwavemedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-wpp-client,003OVZOLaG5iwGE,001Dl5QYMfHjePc,Frontiers 2026,914570,4,4,4,5,5,4,,,
2026-05-30 19:34:18,Beth Ortega,Echo Media Agency,beth.ortega@echomedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,003KTmp8Mnwz6kf,001t7hsf963iYoT,Frontiers 2026,914763,4,4,4,3,5,5,,"Loved the speaker line-up, the content was practical and easy to apply.",A clearer agenda sent in advance would be useful.
2026-05-30 19:10:38,Dean Hale,Harbourline Media,dean.hale@harbourlinemedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-wpp-client,003v93n0r5iQGEC,001uc61daEi5uS7,Frontiers 2026,914989,5,4,4,5,4,4,Receive a copy of the keynote deck and research whitepaper,"Solid content overall, the workshop was the standout for our team.",
2026-05-30 18:43:15,Lucas Grant,Brightwave Agency,lucas.grant@brightwavemedia.com,Agency,fy26-nca-frontiers-evt-nsw-indies-client,003jEZrIgtSjcoS,001u6foAmAiIi1R,Frontiers 2026,914648,5,4,4,4,3,4,,"Well organised event, the facilitators kept the energy high throughout.",
2026-05-30 17:47:47,Ella Keller,Driftwood Media,ella.keller@driftwoodmedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,003WpBAG15Fr8Tt,001b3gokdtklMUo,Frontiers 2026,914588,4,4,4,5,4,4,Receive a copy of the keynote deck and research whitepaper,"Solid content overall, the workshop was the standout for our team.",
2026-05-30 17:42:19,Sam Ellis,Solstice Media,sam.ellis@solsticemedia.com,Agency,fy26-nca-frontiers-evt-vic-consortium-omnicom-day2-client,003ewzRGPm4pTL2,001r1tW4TkArApJ,Frontiers 2026,914691,5,5,,5,5,4,"No further action needed right now, thank you!","Useful takeaways for our planning, though I'd have liked more case studies.",
2026-05-30 17:33:22,Leo Keller,Lumen Media Group,leo.keller@lumenmedia.com,Agency,fy26-nca-frontiers-evt-nsw-consortium-omnicom-day2-client,003hKBMxCi6Rcie,001nbj0Jy8h23zi,Frontiers 2026,914611,5,4,3,,4,5,Receive a copy of the keynote deck and research whitepaper,"Loved the speaker line-up, the content was practical and easy to apply.",Consider a longer networking session at the end.
2026-05-30 17:17:52,Cody Keller,Northstar Media,cody.keller@northstarmedia.com,Agency,fy26-nca-frontiers-evt-vic-indies-client,003Puxt9CVw8kXD,001kapDLRjBlwRw,Frontiers 2026,914779,5,4,3,5,5,4,Receive a copy of the keynote deck and research whitepaper,The keynote was engaging and the workshop tied the insights together really well.,A clearer agenda sent in advance would be useful.
